Environment,Physical Server,Servername,Logical Environment,Logical Environment Abbiv.,Purpose,IP Address / Ports for Database,DNS Name,Virtual IP Address,,KHBE Environment Instance Name,"Data 
Contained",Internet Connectivity
Production,PROD-APP-7,HFSNE121-037230,,STAG,,172.26.128.248,stag.kyserve.chfsinet.ky.gov,,,,,No
Production,PROD-APP-7,HFSNE121-037230,,PROD,,172.26.128.249,kyserve.chfsinet.ky.gov,,,,,No
Production,PROD-APP-8,HFSNE121-037437,,PROD,,172.26.128.252,kyserve.chfsinet.ky.gov,,,,,No
Production,PROD-APP-8,HFSNE121-037231,,STAG,,172.26.128.251,stag.kyserve.chfsinet.ky.gov,,,,,
Production,PROD-APP-8,HFSNE121-037231,,PROD,,172.26.128.252,kyserve.chfsinet.ky.gov,,,,,No
Production,PROD-APP-9,HFSNE121-037239,,STAG,,175.26.128.156,stag.kyserve.chfsinet.ky.gov,,,,,No
Production,PROD-APP-9,HFSNE121-037239,,PROD,,172.26.128.157,kyserve.chfsinet.ky.gov,,,,,No
Production,PROD-APP-10,HFSNE121-037240,,STAG,,172.26.128.158,stag.kyserve.chfsinet.ky.gov,,,,,No
Production,PROD-APP-10,HFSNE121-037240,,PROD,,172.26.128.159,kyserve.chfsinet.ky.gov,,,,,No
Production,PROD-APP-11,HFSNE121-037349,,PROD,,172.26.127.136,kyserve.chfsinet.ky.gov,,,,,No
Production,PROD-APP-12,HFSNE121-037350,,PROD,,172.26.127.137,kyserve.chfsinet.ky.gov,,,,,
Production,PROD-APP-13,HFSNE121-037396,,PROD,,172.26.127.218,kyserve.chfsinet.ky.gov,,,,,
Production,PROD-APP-14,HFSNE121-037397,,PROD,,172.26.127.219,kyserve.chfsinet.ky.gov,,,,,
Production,PROD-APP-15,HFSNE121-037398,,PROD,,172.26.127.220,kyserve.chfsinet.ky.gov,,,,,
Production,PROD-APP-16,HFSNE121-037399,,PROD,,172.26.127.221,kyserve.chfsinet.ky.gov,,,,,
Production,PROD-APP-17,HFSNE121-037400,,PROD,,172.26.127.222,kyserve.chfsinet.ky.gov,,,,,
Production,PROD-APP-18,HFSNE121-037401,,PROD,,172.26.127.223,kyserve.chfsinet.ky.gov,,,,,
Production,PROD-APP-19,HFSNE121-037447,,PROD,,172.26.127.77,kyserve.chfsinet.ky.gov,,,,,
Production,PROD-APP-20,HFSNE121-037448,,PROD,,172.26.127.78,kyserve.chfsinet.ky.gov,,,,,
Production,PROD-APP-21,HFSNE121-037475,,PROD,,172.26.127.226,kyserve.chfsinet.ky.gov,,,,,
Production,PROD-APP-22,HFSNE121-037476,,PROD,,172.26.127.227,kyserve.chfsinet.ky.gov,,,,,
Production,PROD-APPFABRIC-Hosting-1,HFSNE121-037110,,STAG,,172.26.130.41,stag.kyservices.chfsinet.ky.gov,172.26.130.45,,,,
Production,PROD-APPFABRIC-Hosting-1,HFSNE121-037110,,PROD,,172.26.130.42,kyservices.chfsinet.ky.gov,172.26.130.84,,,,No
Production,PROD-APPFABRIC-Hosting-1,HFSNE121-037110,,CONV,,172.26.130.188,conv.kyservices.chfsinet.ky.gov,172.26.130.177,,,,No
Production,PROD-APPFABRIC-Hosting-1,HFSNE121-037110,,PILOT,,172.26.130.29,pilot.kyservices.chfsinet.ky.gov ,172.26.130.247,,,,
Production,PROD-APPFABRIC-Hosting-2,HFSNE121-037111,,STAG,,172.26.130.43,stag.kyservices.chfsinet.ky.gov,,,,,
Production,PROD-APPFABRIC-Hosting-2,HFSNE121-037111,,PROD,,172.26.130.44,kyservices.chfsinet.ky.gov,,,,,No
Production,PROD-APPFABRIC-Hosting-2,HFSNE121-037111,,PROD,,172.26.130.193,conv.kyservices.chfsinet.ky.gov,,,,,No
Production,PROD-APPFABRIC-Hosting-2,HFSNE121-037111,,PILOT,,172.26.130.30,pilot.kyservices.chfsinet.ky.gov ,,,,,
Production,PROD-APPFABRIC-Hosting-3,HFSNE121-037167,,STAG,,172.26.130.139,stag.kyservices.chfsinet.ky.gov,,,,,
Production,PROD-APPFABRIC-Hosting-3,HFSNE121-037167,,PROD,,172..26.130.140,kyservices.chfsinet.ky.gov,,,,,No
Production,PROD-APPFABRIC-Hosting-3,HFSNE121-037167,,PROD,,172.26.130.195,conv.kyservices.chfsinet.ky.gov,,,,,No
Production,PROD-APPFABRIC-Hosting-3,HFSNE121-037167,,PILOT,,172.26.130.138,pilot.kyservices.chfsinet.ky.gov ,,,,,
Production,PROD-APPFABRIC-Hosting-4,HFSNE121-037168,,STAG,,172.26.130.145,stag.kyservices.chfsinet.ky.gov,,,,,
Production,PROD-APPFABRIC-Hosting-4,HFSNE121-037168,,PROD,,172.26.130.146,kyservices.chfsinet.ky.gov,,,,,No
Production,PROD-APPFABRIC-Hosting-4,HFSNE121-037168,,PROD,,172.26.130.196,conv.kyservices.chfsinet.ky.gov,,,,,No
Production,PROD-APPFABRIC-Hosting-4,HFSNE121-037168,,PILOT,,172.26.130.144,pilot.kyservices.chfsinet.ky.gov ,,,,,
Production,PROD-APPFABRIC-Caching-1,HFSNE121-037112,,PROD,,172.26.128.49,,,,,,
Production,PROD-APPFABRIC-Caching-2,HFSNE121-037117,,PROD,,172.26.128.50,,,,,,No
Production,PROD-APPFABRIC-Caching-3,HFSNE121-037118,,PROD,,172.26.128.51,,,,,,No
Production,PROD-BIZTALK-1,HFSSD121-03750,,PROD,,172.26.21.23,,,,,,No
Production,PROD-BIZTALK-2,HFSSD121-03751,,PROD,,172.26.21.24,,,,,,No
Production,PROD-BIZTALK-3,HFSSD121-03752,,PROD,,,,,,,,No
Production,PROD-BIZTALK-4,HFSSD121-03753,,PROD,,,,,,,,No
Production,PROD-BIZTALK-5,HFSSD121-03754,,PROD,,,,,,,,No
Production,PROD-BIZTALK-6,HFSSD121-03755,,PROD,,,,,,,,No
Production,PROD-FTP-1,HFSGA121-03751,,PROD,,,,,,,,No
Production,PROD-FTP-2,HFSGA121-03752,,PROD,,,,,,,,No
Production,PROD-BATCH-1,HFSNE121-037119,,PROD,,172.26.130.31,,,,,,No
Production,PROD-BATCH-2,HFSNE121-037120,,PROD,,172.26.130.32,,,,,,No
Production,PROD-INITIATE-WRAPPER-01,HFSNE121-037198,,PROD,,172.26.130.164,kymci.chfsinet.ky.gov,172.26.130.166,,,,No
Production,PROD-INITIATE-WRAPPER-01,HFSNE121-037198,,STAG,,172.26.130.183,stag.kymci.chfsinet.ky.gov,172.26.130.178,,,,
Production,PROD-INITIATE-WRAPPER-01,HFSNE121-037198,,CONV,,172.26.130.218,conv.kymci.chfsinet.ky.gov,172.26.130.217,,,,
Production,PROD-INITIATE-WRAPPER-01,HFSNE121-037198,,PILOT,,172.26.130.243,pilot.kymci.chfsinet.ky.gov,172.26.130.241,,,,
Production,PROD-INITIATE-WRAPPER-01,HFSNE121-037198,,SDH,,172.26.130.244,kyprovmci.chfsinet.ky.gov,172.26.130.242,,,,
Production,PROD-INITIATE-WRAPPER-02,HFSNE121-037199,,PROD,,172.26.130.165,kymci.chfsinet.ky.gov,,,,,
Production,PROD-INITIATE-WRAPPER-02,HFSNE121-037199,,STAG,,172.26.130.187,stag.kymci.chfsinet.ky.gov,,,,,
Production,PROD-INITIATE-WRAPPER-02,HFSNE121-037199,,CONV,,172.26.130.219,conv.kymci.chfsinet.ky.gov,,,,,
Production,PROD-INITIATE-WRAPPER-02,HFSNE121-037199,,PILOT,,172.26.130.245,pilot.kymci.chfsinet.ky.gov,,,,,
Production,PROD-INITIATE-WRAPPER-02,HFSNE121-037199,,SDH,,172.26.130.246,kyprovmci.chfsinet.ky.gov,,,,,
Production,PROD-FORMS-1,HFSNE121-037113,,STAG,,172.26.130.85,STAG.kyforms.chfsinet.ky.gov,172.26.130.125,,,,
Production,PROD-FORMS-1,HFSNE121-037113,,PROD,,172.26.130.122,kyforms.chfsinet.ky.gov,172.26.130.126,,,,No
Production,PROD-FORMS-2,HFSNE121-037114,,STAG,,172.26.130.123,STAG.kyforms.chfsinet.ky.gov,,,,,No
Production,PROD-FORMS-2,HFSNE121-037114,,PROD,,172.26.130.124,kyforms.chfsinet.ky.gov,,,,,No
Production,PROD-FORMS-3,HFSNE121-037216,,STAG,,172.26.130.171,STAG.kyforms.chfsinet.ky.gov,,,,,No
Production,PROD-FORMS-3,HFSNE121-037216,,PROD,,172.26.130.172,kyforms.chfsinet.ky.gov,,,,,
Production,PROD-FORMS-4,HFSNE121-037217,,STAG,,172.26.130.173,STAG.kyforms.chfsinet.ky.gov,,,,,No
Production,PROD-FORMS-4,HFSNE121-037217,,PROD,,172.26.130.174,kyforms.chfsinet.ky.gov,,,,,
Production,PROD-REPORTING-WI-3,,,PROD,,,,,,,,No
Production,PROD-REPORTING-WI-4,,,PROD,,,,,,,,No
Production,PROD-WEB-REPORTING-1,,,PROD,,,,,,,,No
Production,PROD-WEB-REPORTING-2,,,PROD,,,,,,,,No
Production,PROD-RULES-1,HFSNE121-037115,,STAG,,172.26.130.37,STAG.kyrules.chfsinet.ky.gov,172.26.130.35,,,,No
Production,PROD-RULES-1,HFSNE121-037115,,PROD,,172.26.130.38,kyrules.chfsinet.ky.gov,172.26.130.36,,,,No
Production,PROD-RULES-2,HFSNE121-037116,,STAG,,172.26.130.39,STAG.kyrules.chfsinet.ky.gov,,,,,No
Production,PROD-RULES-2,HFSNE121-037116,,PROD,,172.26.130.40,kyrules.chfsinet.ky.gov,,,,,
Production,PROD-RULES-3,HFSNE121-037165,,STAG,,172.26.130.129,STAG.kyrules.chfsinet.ky.gov,,,,,No
Production,PROD-RULES-3,HFSNE121-037165,,PROD,,172.26.130.130,kyrules.chfsinet.ky.gov,,,,,No
Production,PROD-RULES-4,HFSNE121-037166,,STAG,,172.26.130.134,STAG.kyrules.chfsinet.ky.gov,,,,,
Production,PROD-RULES-4,HFSNE121-037166,,PROD,,172.26.130.135,kyrules.chfsinet.ky.gov,,,,,No
Production,PROD-RULES-5,HFSNE121-037410,,PROD,,172.26.130.203,kyrules.chfsinet.ky.gov,,,,,No
Production,PROD-RULES-6,HFSNE121-037411,,PROD,,172.26.131.166,kyrules.chfsinet.ky.gov,,,,,
Production,PROD-RULES-7,HFSNE121-037412,,PROD,,172.26.131.167,kyrules.chfsinet.ky.gov,,,,,
Production,PROD-RULES-8,HFSNE121-037413,,PROD,,172.26.131.169,kyrules.chfsinet.ky.gov,,,,,
Production,PROD-RULES-09,HFSNE121-037418,,PROD,,172.26.131.175,kyrules.chfsinet.ky.gov,,,,,
Production,PROD-RULES-10,HFSNE121-037419,,PROD,,172.26.131.176,kyrules.chfsinet.ky.gov,,,,,
Production,PROD-RULES-11,HFSNE121-037420,,PROD,,172.26.131.177,kyrules.chfsinet.ky.gov,,,,,
Production,PROD-RULES-12,HFSNE121-037421,,PROD,,172.26.131.174,kyrules.chfsinet.ky.gov,,,,,
Production,PROD-SCOM,0,,PROD,,,,,,,,
Production,PROD-WF-1,HFSNE121-037261,,PROD,,172.26.126.127,kyworkflow.chfsinet.ky.gov,172.26.126.150,,,,
Production,PROD-WF-2,HFSNE121-037262,,PROD,,172.26.126.128,kyworkflow.chfsinet.ky.gov,,,,,No
Staging,STAG-WF-1,HFSNE121-037435,,STAG,,172.26.127.73,Stag.kyworkflow.chfsinet.ky.gov,,,,,No
Production,PROD-WF-DB-1,HFSNE121-037263,,PROD,,"HFSNE121-037267\PROD 1961
",,,,,,
Production,PROD-WF-DB-2,HFSNE121-037264,,PROD,,"HFSNE121-037268\STAG 1962
",,,,,,
Production,PROD-BT360-1,HFSNE121-037416,,PROD,,172.26.131.172,bt360.chfsinet.ky.gov,172.26.131.186,,,,No
Production,PROD-BT360-2,HFSNE121-037417,,PROD,,172.26.131.173,bt360.chfsinet.ky.gov,,,,,
Conversion,PILOT-WEB-1,HFSNE121-037340,,PILOT,,172.26.127.133,pilot.kynect.ky.gov,205.204.197.136,,,,
Conversion,PILOT-WEB-1,HFSNE121-037340,,PILOT,,172.26.127.150,pilot.kywaiver.ky.gov,205.204.197.137,,,,YES
Conversion,PILOT-WEB-1,HFSNE121-037340,,PILOT,,172.26.127.151,pilot.kyshop.ky.gov,205.204.197.138,,,,YES
Conversion,PILOT-WEB-1,HFSNE121-037340,,PILOT,,172.26.127.152,pilot.kyshopping.ky.gov,205.204.197.139,,,,YES
Conversion,PILOT-WEB-1,HFSNE121-037340,,PILOT,,172.26.127.153,pilot.kyplans.ky.gov,205.204.197.140,,,,YES
Conversion,PILOT-WEB-2,HFSNE121-037341,,PILOT,,172.26.127.134,pilot.kynect.ky.gov,,,,,YES
Conversion,PILOT-WEB-2,HFSNE121-037341,,PILOT,,172.26.127.154,pilot.kywaiver.ky.gov,,,,,YES
Conversion,PILOT-WEB-2,HFSNE121-037341,,PILOT,,172.26.127.155,pilot.kyshop.ky.gov,,,,,YES
Conversion,PILOT-WEB-2,HFSNE121-037341,,PILOT,,172.26.127.156,pilot.kyshopping.ky.gov,,,,,YES
Conversion,PILOT-WEB-2,HFSNE121-037341,,PILOT,,172.26.127.157,pilot.kyplans.ky.gov,,,,,YES
Conversion,PILOT-APP-1,HFSNE121-037298,,CONV,,172.26.126.143,conv.kywaiver.chfsinet.ky.gov,,,,,YES
Conversion,PILOT-APP-1,HFSNE121-037298,,CONV,,172.26.126.144,conv.kynect.chfsinet.ky.gov ,,,,,
Conversion,PILOT-APP-1,HFSNE121-037298,,CONV,,172.26.126.145,conv.kyserve.chfsinet.ky.gov ,,,,,
Conversion,PILOT-APP-1,HFSNE121-037298,,CONV,,172.26.126.146,conv.kyissuer.chfsinet.ky.gov ,,,,,
Conversion,PILOT-APP-1,HFSNE121-037298,,CONV,,172.26.126.147,conv.kyshop.chfsinet.ky.gov ,,,,,
Conversion,PILOT-APP-1,HFSNE121-037298,,CONV,,172.26.126.148,conv.kyshopping.chfsinet.ky.gov ,,,,,
Conversion,PILOT-APP-1,HFSNE121-037298,,CONV,,172.26.126.149,conv.kyplans.chfsinet.ky.gov,,,,,
Conversion,PILOT-APP-1,HFSNE121-037298,,PILOT,,172.26.127.159,pilot.kyserve.chfsinet.ky.gov,172.26.127.158,,,,
Conversion,PILOT-APP-1,HFSNE121-037298,,CONV,,172.26.127.143,conv.kywaiver.chfsinet.ky.gov,,,,,
Conversion,PILOT-APP-1,HFSNE121-037298,,CONV,,172.26.127.42,ccap.kynect.chfsinet.ky.gov,,,,,
Conversion,PILOT-APP-1,HFSNE121-037298,,CONV,,172.26.127.43,ccap.kyservices.chfsinet.ky.gov,,,,,
Conversion,PILOT-APP-1,HFSNE121-037298,,CONV,,172.26.127.44,ccap.kyserve.chfsinet.ky.gov,,,,,
Conversion,PILOT-APP-2,HFSNE121-037342,,PILOT,,172.26.127.160,pilot.kyserve.chfsinet.ky.gov,,,,,
Conversion,PILOT-DB-1,HFSNE121-037299,,PILOT,,,,,,,,
Conversion,PILOT-DB-2,HFSNE121-037351,,PILOT,,,,,,,,
Conversion,CONV-INITIATE-DB,HFSNE121-037306,,CONV,,,,,,,,
Conversion,CONV-INITIATE-FE,HFSNE121-037307,,CONV,,,,,,,,
Conversion,PILOT-RULES-2,HFSNE121-037380,,CCAP,,172.26.131.187,ccap.kyrules.chfsinet.ky.gov,,,,,
Conversion,PILOT-RULES-2,HFSNE121-037380,,CCAP,,172.26.130.232,pilot.kyrules.chfsinet.ky.gov,172.26.131.162,,,,
Conversion,PILOT-RULES-3,HFSNE121-037321,,PILOT,,172.26.130.216,pilot.kyrules.chfsinet.ky.gov,,,,,
Conversion,PILOT-RULES-4,HFSNE121-037330,,PILOT,,172.26.130.223,pilot.kyrules.chfsinet.ky.gov,,,,,
Conversion,PILOT-RULES-5,HFSNE121-037329,,PILOT,,172.26.130.222,pilot.kyrules.chfsinet.ky.gov,,,,,
Conversion,PILOT-RULES-6,HFSNE121-037328,,PILOT,,172.26.130.221,pilot.kyrules.chfsinet.ky.gov,,,,,
Conversion,PILOT-RULES-7,HFSNE121-037327,,PILOT,,172.26.130.220,pilot.kyrules.chfsinet.ky.gov,,,,,
Conversion,PILOT-FORMS-1,HFSNE121-037318,,CONV,,172.26.130.213,conv.kyforms.chfsinet.ky.gov,,,,,
Conversion,PILOT-FORMS-1,HFSNE121-037318,,PILOT,,172.26.130.152,pilot.kyforms.chfsinet.ky.gov,,,,,
Conversion,PILOT-BT-1,HFSNE121-037346,,PILOT,,172.26.131.165,conv.workflow.chfsinet.ky.gov,,,,,
Conversion,PILOT-BT-2,HFSNE121-037347,,PILOT,,,,,,,,
Conversion,PILOT-BT-3,HFSNE121-037348,,PILOT,,,,,,,,
Conversion,PILOT-BT-DB-1,HFSNE121-037352,,PILOT,,,,,,,,
Conversion,PILOT-K2-DB-1,HFSNE121-037353,,PILOT,,,,,,,,
Conversion,PILOT-RULES-1,HFSNE121-037344,,PILOT,,172.26.130.232,pilot.kyrules.chfsinet.ky.gov,,,,,
Conversion,PILOT-WF-1,HFSNE121-037345,,PILOT,,172.26.130.233,pilot.kyworkflow.chfsinet.ky.gov,,,,,
